Frame,ID,State,Confidence
63,3,STANDING,0.87
63,4,SITTING,0.82
63,5,STANDING,0.85
63,6,SITTING,0.58
63,7,SITTING,0.65
63,8,STANDING,0.74
63,9,STANDING,0.72
63,10,SITTING,0.81
63,11,SITTING,0.36
63,13,SITTING,0.4
63,12,SITTING,0.42
64,1,SITTING,0.87
64,2,SITTING,0.81
64,3,STANDING,0.88
64,4,SITTING,0.82
64,5,STANDING,0.85
64,6,SITTING,0.57
64,7,SITTING,0.67
64,8,STANDING,0.74
64,9,STANDING,0.74
64,10,SITTING,0.81
64,11,SITTING,0.36
64,13,SITTING,0.37
64,12,SITTING,0.4
65,1,SITTING,0.87
65,2,SITTING,0.81
65,3,STANDING,0.88
65,4,SITTING,0.82
65,5,STANDING,0.85
65,6,SITTING,0.56
65,7,SITTING,0.67
65,8,STANDING,0.74
65,9,STANDING,0.73
65,10,SITTING,0.8
65,11,SITTING,0.36
65,13,SITTING,0.35
65,12,SITTING,0.29
66,1,SITTING,0.87
66,2,SITTING,0.8
66,3,STANDING,0.88
66,4,SITTING,0.81
66,5,STANDING,0.85
66,6,SITTING,0.56
66,7,SITTING,0.68
66,8,STANDING,0.74
66,9,STANDING,0.73
66,10,SITTING,0.8
66,11,SITTING,0.36
66,13,SITTING,0.34
66,12,SITTING,0.28
67,1,SITTING,0.87
67,2,SITTING,0.8
67,3,STANDING,0.88
67,4,SITTING,0.82
67,5,STANDING,0.85
67,6,SITTING,0.6
67,7,SITTING,0.69
67,8,STANDING,0.74
67,9,SITTING,0.73
67,10,SITTING,0.8
67,11,SITTING,0.36
67,13,SITTING,0.45
67,12,SITTING,0.33
68,1,SITTING,0.88
68,2,SITTING,0.81
68,3,STANDING,0.88
68,4,SITTING,0.82
68,5,STANDING,0.86
68,6,SITTING,0.66
68,7,SITTING,0.7
68,8,STANDING,0.74
68,9,STANDING,0.74
68,10,SITTING,0.8
68,11,SITTING,0.39
68,13,SITTING,0.47
68,12,SITTING,0.3
69,1,SITTING,0.88
69,2,SITTING,0.82
69,3,STANDING,0.88
69,4,SITTING,0.82
69,5,STANDING,0.85
69,6,SITTING,0.7
69,7,SITTING,0.67
69,8,STANDING,0.74
69,9,STANDING,0.73
69,10,SITTING,0.8
69,11,SITTING,0.37
69,13,SITTING,0.45
69,12,SITTING,0.23
70,1,SITTING,0.88
70,2,SITTING,0.83
70,3,STANDING,0.88
70,4,SITTING,0.81
70,5,STANDING,0.85
70,6,SITTING,0.7
70,7,SITTING,0.74
70,8,STANDING,0.74
70,9,STANDING,0.73
70,10,SITTING,0.8
70,11,SITTING,0.37
70,13,SITTING,0.45
70,12,SITTING,0.19
71,1,SITTING,0.87
71,2,SITTING,0.84
71,3,STANDING,0.88
71,4,SITTING,0.81
71,5,STANDING,0.85
71,6,SITTING,0.67
71,7,SITTING,0.68
71,8,STANDING,0.73
71,9,SITTING,0.73
71,10,SITTING,0.79
71,11,SITTING,0.38
71,13,SITTING,0.29
71,12,SITTING,0.25
72,1,SITTING,0.88
72,2,SITTING,0.83
72,3,STANDING,0.89
72,4,SITTING,0.82
72,5,STANDING,0.85
72,6,SITTING,0.69
72,7,SITTING,0.71
72,8,STANDING,0.73
72,9,SITTING,0.74
72,10,SITTING,0.8
72,11,SITTING,0.39
72,13,SITTING,0.39
72,12,SITTING,0.17
73,1,SITTING,0.87
73,2,SITTING,0.78
73,3,STANDING,0.88
73,4,SITTING,0.83
73,5,STANDING,0.85
73,6,SITTING,0.64
73,7,SITTING,0.68
73,8,STANDING,0.73
73,9,SITTING,0.7
73,10,SITTING,0.79
73,11,SITTING,0.38
73,13,SITTING,0.33
74,1,SITTING,0.87
74,2,SITTING,0.79
74,3,STANDING,0.89
74,4,SITTING,0.83
74,5,STANDING,0.85
74,6,SITTING,0.59
74,7,SITTING,0.77
74,8,STANDING,0.73
74,9,SITTING,0.7
74,10,SITTING,0.78
74,11,SITTING,0.33
74,13,SITTING,0.47
75,1,SITTING,0.87
75,2,SITTING,0.8
75,3,STANDING,0.88
75,4,SITTING,0.83
75,5,STANDING,0.85
75,6,SITTING,0.62
75,7,SITTING,0.74
75,8,STANDING,0.73
75,9,SITTING,0.71
75,10,SITTING,0.77
75,11,SITTING,0.33
75,13,SITTING,0.49
76,1,SITTING,0.8
76,2,SITTING,0.8
76,3,STANDING,0.77
76,4,SITTING,0.79
76,5,STANDING,0.85
76,6,SITTING,0.76
76,7,SITTING,0.8
76,8,STANDING,0.7
76,9,SITTING,0.66
76,10,SITTING,0.76
76,11,STANDING,0.38
76,13,SITTING,0.71
77,1,SITTING,0.83
77,2,SITTING,0.77
77,3,STANDING,0.75
77,4,SITTING,0.79
77,5,STANDING,0.85
77,6,SITTING,0.76
77,7,SITTING,0.8
77,8,STANDING,0.7
77,9,SITTING,0.65
77,10,SITTING,0.76
77,11,STANDING,0.38
77,13,SITTING,0.6
78,1,SITTING,0.82
78,2,SITTING,0.76
78,3,STANDING,0.62
78,4,SITTING,0.8
78,5,STANDING,0.85
78,6,SITTING,0.75
78,7,SITTING,0.81
78,8,STANDING,0.68
78,9,SITTING,0.64
78,10,SITTING,0.76
78,11,STANDING,0.39
78,13,SITTING,0.62
79,1,SITTING,0.81
79,2,SITTING,0.72
79,3,STANDING,0.79
79,4,SITTING,0.8
79,5,STANDING,0.85
79,6,SITTING,0.74
79,7,SITTING,0.81
79,8,STANDING,0.66
79,9,SITTING,0.64
79,10,SITTING,0.75
79,11,STANDING,0.35
79,13,SITTING,0.58
80,1,SITTING,0.79
80,2,SITTING,0.7
80,3,STANDING,0.66
80,4,SITTING,0.81
80,5,STANDING,0.85
80,6,SITTING,0.77
80,7,SITTING,0.81
